index,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Type,kmeans_cluster_label
0,1.007,0,1,1,2.2,13.5984,8.99e-05,14.175,20.28,Nonmetal,3
2,6.941,4,3,3,0.98,5.3917,0.534,453.85,1615.0,Alkali Metal,6
3,9.012,5,4,4,1.57,9.3227,1.85,1560.15,2742.0,Alkaline Earth Metal,6
4,10.811,6,5,5,2.04,8.298,2.34,2573.15,4200.0,Metalloid,5
5,12.011,6,6,6,2.55,11.2603,2.27,3948.15,4300.0,Nonmetal,5
6,14.007,7,7,7,3.04,14.5341,0.00125,63.29,77.36,Nonmetal,3
7,15.999,8,8,8,3.44,13.6181,0.00143,50.5,90.2,Nonmetal,3
8,18.998,10,9,9,3.98,17.4228,0.0017,53.63,85.03,Halogen,3
9,20.18,10,10,10,0.0,21.5645,0.0009,24.703,27.07,Noble Gas,3
10,22.99,12,11,11,0.93,5.1391,0.971,371.15,1156.0,Alkali Metal,6
11,24.305,12,12,12,1.31,7.6462,1.74,923.15,1363.0,Alkaline Earth Metal,6
12,26.982,14,13,13,1.61,5.9858,2.7,933.4,2792.0,Metal,6
13,28.086,14,14,14,1.9,8.1517,2.33,1683.15,3538.0,Metalloid,5
14,30.974,16,15,15,2.19,10.4867,1.82,317.25,553.0,Nonmetal,3
15,32.065,16,16,16,2.58,10.36,2.07,388.51,717.8,Nonmetal,3
16,35.453,18,17,17,3.16,12.9676,0.00321,172.31,239.11,Halogen,3
17,39.948,22,18,18,0.0,15.7596,0.00178,83.96,87.3,Noble Gas,6
18,39.098,20,19,19,0.82,4.3407,0.862,336.5,1032.0,Alkali Metal,6
19,40.078,20,20,20,1.0,6.1132,1.54,1112.15,1757.0,Alkaline Earth Metal,6
20,44.956,24,21,21,1.36,6.5615,2.99,1812.15,3109.0,Transition Metal,5
21,47.867,26,22,22,1.54,6.8281,4.54,1933.15,3560.0,Transition Metal,5
22,50.942,28,23,23,1.63,6.7462,6.11,2175.15,3680.0,Transition Metal,5
23,51.996,28,24,24,1.66,6.7665,7.15,2130.15,2944.0,Transition Metal,5
24,54.938,30,25,25,1.55,7.434,7.44,1519.15,2334.0,Transition Metal,5
25,55.845,30,26,26,1.83,7.9024,7.87,1808.15,3134.0,Transition Metal,5
26,58.933,32,27,27,1.88,7.881,8.86,1768.15,3200.0,Transition Metal,5
27,58.693,31,28,28,1.91,7.6398,8.91,1726.15,3186.0,Transition Metal,5
28,63.546,35,29,29,1.9,7.7264,8.96,1357.75,2835.0,Transition Metal,5
29,65.38,35,30,30,1.65,9.3942,7.13,692.88,1180.0,Transition Metal,4
30,69.723,39,31,31,1.81,5.9993,5.91,302.91,2477.0,Metal,4
31,72.64,41,32,32,2.01,7.8994,5.32,1211.45,3106.0,Metalloid,5
32,74.922,42,33,33,2.18,9.7886,5.78,1090.15,887.0,Metalloid,4
33,78.96,45,34,34,2.55,9.7524,4.81,494.15,958.0,Nonmetal,4
34,79.904,45,35,35,2.96,11.8138,3.12,266.05,332.0,Halogen,4
35,83.798,48,36,36,0.0,13.9996,0.00373,115.93,119.93,Noble Gas,6
36,85.468,48,37,37,0.82,4.1771,1.53,312.79,961.0,Alkali Metal,6
37,87.62,50,38,38,0.95,5.6949,2.64,1042.15,1655.0,Alkaline Earth Metal,6
38,88.906,50,39,39,1.22,6.2173,4.47,1799.15,3609.0,Transition Metal,5
39,91.224,51,40,40,1.33,6.6339,6.51,2125.15,4682.0,Transition Metal,5
40,92.906,52,41,41,1.6,6.7589,8.57,2741.15,5017.0,Transition Metal,5
41,95.96,54,42,42,2.16,7.0924,10.2,2890.15,4912.0,Transition Metal,5
42,98.0,55,43,43,1.9,7.28,11.5,2473.15,5150.0,Transition Metal,5
43,101.07,57,44,44,2.2,7.3605,12.4,2523.15,4423.0,Transition Metal,5
44,102.906,58,45,45,2.28,7.4589,12.4,2239.15,3968.0,Transition Metal,5
45,106.42,60,46,46,2.2,8.3369,12.0,1825.15,3236.0,Transition Metal,5
46,107.868,61,47,47,1.93,7.5762,10.5,1234.15,2435.0,Transition Metal,4
47,112.411,64,48,48,1.69,8.9938,8.69,594.33,1040.0,Transition Metal,4
48,114.818,66,49,49,1.78,5.7864,7.31,429.91,2345.0,Metal,4
49,118.71,69,50,50,1.96,7.3439,7.29,505.21,2875.0,Metal,4
50,121.76,71,51,51,2.05,8.6084,6.69,904.05,1860.0,Metalloid,4
51,127.6,76,52,52,2.1,9.0096,6.23,722.8,1261.0,Metalloid,4
52,126.904,74,53,53,2.66,10.4513,4.93,386.65,457.4,Halogen,4
53,131.293,77,54,54,0.0,12.1298,0.00589,161.45,165.03,Noble Gas,4
54,132.905,78,55,55,0.79,3.8939,1.87,301.7,944.0,Alkali Metal,0
55,137.327,81,56,56,0.89,5.2117,3.59,1002.15,2170.0,Alkaline Earth Metal,0
56,138.905,82,57,57,1.1,5.5769,6.15,1193.15,3737.0,Lanthanide,0
57,140.116,82,58,58,1.12,5.5387,6.77,1071.15,3716.0,Lanthanide,0
58,140.908,82,59,59,1.13,5.473,6.77,1204.15,3793.0,Lanthanide,0
59,144.242,84,60,60,1.14,5.525,7.01,1289.15,3347.0,Lanthanide,0
60,145.0,84,61,61,1.13,5.582,7.26,1204.15,3273.0,Lanthanide,0
61,150.36,88,62,62,1.17,5.6437,7.52,1345.15,2067.0,Lanthanide,0
62,151.964,89,63,63,1.2,5.6704,5.24,1095.15,1802.0,Lanthanide,0
63,157.25,93,64,64,1.2,6.1501,7.9,1585.15,3546.0,Lanthanide,0
64,158.925,94,65,65,1.2,5.8638,8.23,1630.15,3503.0,Lanthanide,0
65,162.5,97,66,66,1.22,5.9389,8.55,1680.15,2840.0,Lanthanide,0
66,164.93,98,67,67,1.23,6.0215,8.8,1743.15,2993.0,Lanthanide,0
67,167.259,99,68,68,1.24,6.1077,9.07,1795.15,3503.0,Lanthanide,0
68,168.934,100,69,69,1.25,6.1843,9.32,1818.15,2223.0,Lanthanide,0
69,173.054,103,70,70,1.1,6.2542,6.97,1097.15,1469.0,Lanthanide,0
70,174.967,104,71,71,1.27,5.4259,9.84,1936.15,3675.0,Lanthanide,0
71,178.49,106,72,72,1.3,6.8251,13.3,2500.15,4876.0,Transition Metal,2
72,180.948,108,73,73,1.5,7.5496,16.7,3269.15,5731.0,Transition Metal,2
